autID,nume,prenume
319,Lawrence,Mrs.
320,Flaubert,Gustave
321,Yeats,W. B. (William Butler)
322,Gregory,Francis Thomas
323,Gregory,Augustus Charles
324,Richardson,Samuel
325,Eliot,Ethel Cook
326,Hope,Laura Lee
327,Burnett,Frances Hodgson
328,Brooke,L. Leslie (Leonard Leslie)
329,Doe,Wace
330,White,William Patterson
331,Copplestone,Bennet
332,Freeman,R. Austin (Richard Austin)
333,Lord,John
334,Doe,Atticus
335,Canth,Minna
336,Aho,Juhani
337,Alcott,William A. (William Andrus)
338,Root,Elihu
339,Summerhayes,Martha
340,Longfellow,Henry Wadsworth
341,Powers,Leland Todd
342,Green,Alice Stopford
343,Trask,Katrina
344,Austen,Jane
345,Shaw,Bernard
346,De Marchi,Emilio
347,Valle-Inclán,Ramón del
348,Bjørnson,Bjørnstjerne
349,McGaffey,Kenneth
350,Dell,Ethel M. (Ethel May)
351,Carlyle,Thomas
352,Clinton,Bill
353,Bridges,Victor
354,Smith,R. Cadwallader
355,Cotter,Frank J.
356,Jackson,Helen Hunt
357,Adams,E. E. (Ezra Eastman)
358,Hay,John
359,Doe,American Tract Society
360,Doe,W. M.
361,Crawford,F. Marion (Francis Marion)
362,Conrad,Joseph
363,Pierpont,James
364,Birmingham,George A.
365,Browne,Theo. Stephenson
366,Lang,Andrew
367,Stevenson,Augusta
368,Sienkiewicz,Henryk
369,Child,Lydia Maria
370,Wodehouse,P. G. (Pelham Grenville)
371,Yonge,Charles Duke
372,Emmuska Orczy,Baroness
373,Thackeray,William Makepeace
374,Cooke,John Esten
375,Jacobs,W. W. (William Wymark)
376,Hume,David
377,Langworthy,John Luther
378,Barnum,Vance
379,Ferri,Enrico
380,Bradley,Alice
381,Grattan,Thomas Colley
382,Beach,Charles Amory
383,Boothby,Guy
384,Addison,Joseph
385,Gay,John
386,Somerville,William
387,Doe,International Committee of the Red Cross
388,Melville,Lewis
389,Mary Wortley,Lady
390,Trumbull,H. Clay (Henry Clay)
391,Grayson,David
392,Cibber,Theophilus
393,Snell,Roy J. (Roy Judson)
394,Burroughs,Edgar Rice
395,Kerr,Robert
396,Spenser,Edmund
397,William George Laurence,Sir
398,Smith,Arthur Cosslett
399,James Bruce,Earl of
400,Hubert Douglas,Sir
401,Adams,Brooks
402,Locke,John
403,Benwell,John
404,Beaumont,Francis
405,Fletcher,John
406,Stribling,T. S. (Thomas Sigismund)
407,Glaspell,Susan
408,Blackwood,Algernon
409,Mayhew,A. L. (Anthony Lawson)
410,Skeat,Walter W. (Walter William)
411,Keeling,Annie E.
412,Wilkinson,Spenser
413,Havergal,Frances Ridley
414,Halleck,Reuben Post
415,Daniel,Florence
416,Caldecott,Randolph
417,Hunt,Leigh
418,Polo,Marco
419,Doe,Rustichello of Pisa
420,Agénor,comte de
421,Heffner,George H.
422,Cram,Ralph Adams
423,Airy,George Biddell
424,Caesar,Julius
425,Bennett,Arnold
426,Freeman,Edward A. (Edward Augustus)
427,Cary,Henry Francis
428,Doe,Epictetus
429,Doe,Multatuli
430,Lenclos,Ninon de
431,Wren,Percival Christopher
