opID,autID
1225,715
1226,2
1227,716
1228,526
1229,717
1230,18
1231,687
1232,718
1233,258
1234,719
1235,698
1236,18
1237,2
1238,720
1239,475
1240,18
1241,721
1242,18
1243,593
1244,722
1245,18
1246,18
1247,723
1248,2
1249,724
1250,725
1251,726
1253,727
1255,92
1256,728
1257,332
1258,18
1259,2
1260,729
1261,488
1262,730
1263,18
1264,18
1265,582
1266,731
1267,732
1268,733
1269,452
1270,2
1271,640
1272,734
1273,735
1274,736
1275,657
1276,737
1277,738
1279,3
1280,3
1281,2
1282,3
1283,739
1284,740
1285,741
1286,18
1287,18
1288,174
1289,18
1290,18
1291,18
1292,2
1293,742
1294,743
1295,744
1296,745
1297,746
1298,747
1299,748
1300,749
1302,18
1303,2
1304,18
1305,207
1306,750
1307,18
1308,751
1309,488
1310,752
1311,18
1312,753
1314,2
1316,375
1317,375
1318,375
1319,375
1320,375
1321,375
1322,375
1323,375
1324,375
1325,2
1326,375
1327,375
1328,281
1329,754
1330,754
1331,56
1332,18
1333,755
1334,756
1335,488
1336,757
1337,2
1338,758
1339,18
1341,759
1342,760
1343,214
1344,761
1345,273
1346,762
1347,273
1348,2
1349,18
1350,763
1351,764
1352,765
1352,766
1353,767
1354,768
1355,769
1356,407
1357,3
1358,18
1359,2
1361,770
1362,18
1363,771
1364,267
1365,18
1366,772
1367,92
1368,637
1369,467
1370,2
1371,3
1372,469
1373,773
1374,18
1375,18
1376,18
1377,18
1378,3
1379,774
1380,775
1381,2
1382,776
1383,3
1384,777
1385,122
1386,778
1387,18
1388,18
1389,314
1390,779
1391,780
1392,2
1393,781
1395,782
1396,783
1397,784
1397,247
1397,785
1397,786
1398,787
1399,788
1400,226
1401,18
1402,789
1403,2
1404,790
1405,791
1406,791
1407,214
1408,18
1409,18
1410,792
1411,18
1412,3
1413,793
1414,2
1415,794
1416,795
1417,795
1418,795
1419,795
1420,795
1421,93
1422,796
1423,686
1423,797
1424,798
1425,2
1426,799
1427,18
1428,18
1429,529
1430,18
1431,800
1432,801
1433,273
1434,802
1435,106
1436,2
1437,803
1438,804
1439,805
1440,806
1441,807
1442,335
1443,335
1444,808
1445,809
1446,810
1447,327
1448,2
1449,811
1450,812
1451,813
1452,814
1453,814
1454,815
1456,816
1457,3
1458,817
1459,2
1461,515
1462,18
1463,818
1465,819
1466,18
1467,18
1468,214
1469,820
1470,2
1471,18
1472,18
1473,18
1474,224
1475,821
1476,822
1477,18
1478,823
1479,73
1480,824
1481,2
1482,18
1483,18
1484,18
1485,825
1487,826
1488,18
1489,739
1490,18
1491,827
1492,2
1493,18
1494,18
1495,18
1496,18
1497,18
1498,828
1499,96
1500,18
1501,18
1502,829
1503,2
1504,18
1505,830
1506,831
1507,832
1508,345
1509,833
1510,834
1511,301
1512,18
1513,18
1514,2
1515,425
1516,18
1517,18
1518,835
1519,324
1520,836
1522,837
1523,838
1524,18
1525,2
1526,18
1527,839
1528,840
1529,841
1531,18
1532,842
1533,408
1534,18
1535,843
1536,106
1537,844
1538,96
1539,18
1540,18
1541,18
1542,18
1543,18
1544,18
1545,18
1546,18
1547,281
1548,18
1549,691
1551,214
1552,845
1553,846
1554,452
1555,247
1556,847
1557,848
1558,849
1559,351
1560,850
1561,18
1562,851
1563,852
1564,18
1565,18
1566,18
1567,18
1568,18
1569,122
1570,139
1571,853
1572,18
1573,18
1574,314
1575,854
1576,18
1577,855
1578,856
1579,857
1580,618
1581,362
1582,18
1583,858
1584,787
1585,274
1586,859
1587,18
1588,12
1589,860
1590,18
1591,18
1592,362
1593,861
1594,862
1595,863
1596,18
1597,864
1599,865
1599,866
1599,604
1599,867
1599,868
1601,408
1602,869
1603,225
1604,529
1605,870
1606,18
1607,18
1608,18
1609,18
1610,18
1611,18
1612,871
1613,872
1614,47
1615,488
1616,873
1617,18
1618,874
1619,875
1620,18
1621,18
1622,18
1623,18
1624,18
1625,876
1626,18
1628,18
1629,18
1630,877
1631,18
1632,18
1633,878
1634,879
1635,880
1636,876
1637,512
1638,375
1639,375
1640,375
1641,375
1642,375
1643,375
1644,375
1645,375
1646,375
1647,603
1648,375
1649,375
1650,375
1651,881
1652,214
1653,787
1654,18
1655,18
1656,882
1657,883
1658,775
1659,884
1660,18
1661,885
1662,583
1663,3
1664,488
1665,109
1666,168
1667,18
1668,886
1669,887
1670,888
1671,889
1672,890
1673,106
1674,891
1675,892
1676,893
1677,894
1678,895
1678,896
1679,897
1680,898
1682,899
1682,900
1683,775
1685,901
1686,902
1687,18
1688,18
1689,903
1690,18
1691,18
1693,350
1694,40
1695,904
1696,18
1697,18
1698,18
1699,905
1701,18
1702,906
1703,394
1704,18
1705,907
1706,908
1707,909
1708,251
1709,604
1710,96
1711,18
1712,18
1713,18
1714,910
1715,18
1716,18
1717,18
1718,18
1719,787
1720,911
1721,912
1722,913
1724,914
1725,915
1726,916
1727,18
1728,787
1730,893
1731,917
1732,214
1733,617
1734,918
1735,777
1736,919
1737,893
1738,920
1739,921
1740,413
1741,922
1742,690
1743,18
1744,18
1745,18
1746,18
1747,923
1747,924
1748,18
1749,925
1750,926
1751,122
1752,927
1753,18
1754,107
1754,102
1755,18
1756,882
1757,928
1758,634
1759,929
1760,930
1761,751
1762,931
1763,932
1764,933
1765,934
1766,935
1767,812
1768,214
1769,936
1770,937
1771,938
1773,939
1774,912
1775,3
1776,488
1777,488
1778,940
1779,941
1780,942
1781,211
1782,907
1783,907
1784,607
1785,943
1786,18
1787,893
1788,18
1789,133
1790,944
1791,690
1792,211
1793,10
1794,18
1795,18
1796,18
1797,945
1798,946
1799,18
1800,18
1801,947
1802,18
1803,211
1804,948
1805,864
1806,154
1807,513
1808,620
1809,251
1810,949
1812,950
1813,18
1814,211
1815,18
1816,18
1817,951
1818,952
1818,953
1819,954
1820,10
1821,18
1822,18
1823,18
1824,32
1825,211
1826,106
1827,425
1828,519
1829,955
1830,956
1831,132
1832,957
1832,958
1833,18
1834,18
1835,18
1837,453
1838,18
1839,18
1840,18
1841,814
1842,959
1843,314
1844,960
1848,961
1849,962
1850,18
1851,940
1852,454
1853,963
1854,637
1855,640
1856,73
1857,964
1858,72
1859,18
1860,258
1861,965
1862,17
1863,544
1864,315
1865,966
1866,601
1867,811
1868,967
1869,968
1870,969
1871,640
1872,970
1873,971
1874,972
1875,972
1876,368
1877,18
1878,640
1879,822
1880,973
1881,974
1882,431
1885,975
1886,18
1887,106
1888,544
1889,538
1890,10
1891,647
1892,973
1893,10
1894,976
1895,977
1896,978
1897,18
1898,18
1899,18
1900,18
1901,358
1901,979
1902,787
1903,973
1904,18
1905,980
1906,18
1908,488
1909,981
1910,982
1910,983
1910,984
1910,118
1911,985
1912,454
1913,185
1914,973
1915,594
1917,986
1918,860
1919,987
1920,988
1921,18
1922,18
1923,989
1924,250
1925,973
1926,657
1927,990
1927,991
1928,18
1929,814
1930,18
1931,18
1932,18
1933,992
1934,993
1935,139
1936,973
1937,18
1938,18
1939,18
1940,18
1942,18
1943,128
1944,994
1945,995
1946,790
1947,973
1948,10
1949,18
1950,32
1951,996
1952,997
1953,647
1954,998
1955,999
1956,1000
1957,817
1958,973
1960,18
1961,18
1962,18
1963,18
1964,763
1965,1001
1965,1002
1965,686
1966,1003
1967,247
1968,1004
1969,973
1970,453
1971,1005
1972,1006
1972,1007
1973,740
1974,1008
1975,1009
1976,1009
1977,1009
1978,1009
1979,1009
1980,973
1981,1009
1982,1009
1983,1009
1984,1009
1985,1009
1986,1009
1987,1009
1988,1009
1989,1009
1990,1009
1991,973
1992,1009
1993,1009
1994,1009
1995,1009
1996,1009
1997,1009
1998,1009
1999,1009
2000,1009
2001,1009
2002,1010
2003,973
2004,1011
2005,1011
2006,1011
2007,1011
2008,1011
2009,1011
2010,1011
2011,1011
2012,1011
2013,1011
2014,973
2015,1011
2016,1011
2017,1011
2018,1011
2019,1011
2020,1011
2021,1011
2022,1011
2023,1011
2024,1011
2025,936
2026,1011
2027,1011
2028,1011
2029,1011
2030,1011
2031,1011
2032,1011
2033,1011
2034,1011
2035,1011
2036,936
2037,1011
2038,1011
2039,1011
2040,1011
2041,1011
2042,1011
2043,1011
2044,1011
2045,1011
2046,1011
2047,1012
2048,1011
2049,1011
2050,1011
2051,1011
2052,1011
2053,1011
2054,1011
2055,1011
2056,1011
2057,1011
2058,1013
2059,1011
2060,1011
2061,1011
2062,1011
2063,1011
2064,1011
2065,1011
2066,754
2067,1014
2068,369
2069,1015
2070,1016
2071,1017
2071,1018
2072,18
2073,18
2074,18
2075,18
2076,775
2077,73
2078,18
2079,1019
2080,211
2081,106
2082,18
2083,18
2084,1020
2085,1021
2086,1022
2087,538
2089,1023
2090,1024
2091,124
2092,56
2093,515
2094,587
2095,1025
2096,3
2097,18
2098,18
2099,18
2100,18
2101,324
2102,686
2103,1026
2104,740
2105,1027
2106,1028
2108,1029
2109,1030
2109,920
2110,1031
2112,1032
2113,154
2114,225
2115,620
2116,500
2117,1033
2118,18
2119,311
2120,1034
2121,1035
2122,18
2123,18
2124,1026
2125,1036
2126,18
2127,1037
2128,1038
2129,587
2130,1039
2131,1040
2132,605
2133,1041
2134,1042
2135,18
2136,1036
2137,787
2138,18
2139,1043
2140,1044
2141,1045
2142,1046
2143,1047
2144,214
2145,1048
2146,18
2147,225
2148,798
2149,1049
2150,18
2151,1050
2152,1051
2153,1052
2154,1053
2155,1054
2156,1055
2157,1056
2158,1057
2159,740
2160,128
2161,128
2162,128
2163,128
2164,471
2165,1058
2166,652
2167,441
2169,225
2170,1059
2171,1060
2172,1060
2173,1060
2174,1060
2175,1060
2176,1060
2177,122
2178,18
2179,1061
2180,686
2181,1062
2182,515
2183,1063
2184,18
2185,274
2186,1064
2187,1065
2188,336
2189,1066
2190,1067
2191,532
2192,1068
2193,375
2194,375
2195,375
2196,375
2197,375
2198,375
2199,1069
2200,739
2201,1070
2202,1071
2203,1072
2205,1073
2206,768
2207,1074
2210,310
2211,408
2212,1075
2214,1076
2215,1077
2216,1078
2217,1078
2218,1078
2219,1078
2220,1078
2221,1079
2222,1080
2223,1081
2224,644
2225,189
2226,1082
2227,1083
2228,617
2229,1084
2230,1085
2231,267
2232,1086
2233,1087
2235,1088
2236,1089
2237,1090
2238,1091
2239,488
2240,1092
2241,608
2242,392
2243,163
2244,1093
2245,18
2246,18
2247,1093
2248,362
2249,1094
2250,1095
2251,1096
2252,18
2253,1097
2255,1098
2256,1099
2257,332
2258,1100
2258,1101
2259,47
2260,651
2260,384
2261,1102
2262,1102
2263,1103
2264,1104
2265,1105
2266,1106
2267,893
2268,1107
2269,404
2269,1108
2269,405
2270,114
2271,404
2271,405
2272,544
2273,1109
2274,18
2275,1110
2276,1111
2277,759
2278,1112
2279,1113
2280,1114
2281,1015
2282,247
2283,214
2284,1115
2285,1116
2286,18
2287,787
2288,1117
2289,1118
2292,114
2294,133
2295,1119
2296,18
2297,1120
2298,320
2299,18
2300,258
2301,1121
2302,1122
2303,587
2304,1123
2305,1124
2306,1125
2307,1126
2308,1126
2309,601
2311,1127
2312,1128
2313,18
2314,211
2315,1129
2316,1130
2317,1131
2318,562
2319,1132
2320,842
2322,18
2323,1133
2323,1134
2324,1135
2325,1136
2326,392
2327,1137
2328,1005
2329,1138
2331,1139
2332,1140
2333,18
2334,405
2334,404
2334,1108
2335,1141
2336,344
2337,1142
2338,1143
2339,1144
2340,891
2341,1145
2342,799
2343,1146
2344,1147
2345,18
2346,1116
2347,416
2348,1148
2349,405
2349,404
2351,1149
2352,1150
2353,18
2354,1151
2355,1152
2356,452
2357,18
2358,1153
2359,344
2360,1154
2361,375
2362,375
2363,375
2364,375
2365,375
2366,375
2367,375
2368,375
2369,375
2370,154
2371,375
2372,375
2373,375
2374,375
2375,18
2376,1155
2377,1156
2377,1157
2378,270
2379,1158
2380,114
2381,728
2382,1159
2382,1160
2383,405
2383,404
2384,1161
2385,1162
2386,18
2387,172
2388,1151
2389,18
2391,647
2392,686
2393,1163
2394,375
2395,375
2396,375
2397,375
2398,375
2399,375
2400,375
2401,375
2402,375
2403,1164
2404,375
2405,375
2406,1165
2407,106
2408,1038
2409,1166
2410,882
2411,452
2412,452
2413,1167
2414,233
2415,73
2417,1168
2418,1169
2419,1170
2420,372
2421,1171
2422,1172
2423,1173
2424,1174
2425,1175
2426,324
2427,84
2428,1176
2429,1177
2430,944
2431,1178
2432,1054
2433,332
2434,1179
2435,1180
2436,298
2437,258
2438,1181
2439,114
2440,1182
2441,1183
2442,60
2443,1184
2444,1184
2445,18
2446,1185
2447,461
2448,686
2449,1186
2450,375
2451,375
2452,375
2453,375
2454,375
2455,375
2456,375
2457,375
2458,375
2459,1187
2460,375
2461,375
2462,375
2463,375
2464,375
2465,375
2466,1188
2467,1189
2468,1190
2469,667
2470,523
2471,1191
2472,404
2472,405
2473,405
2473,404
2474,18
2475,734
2476,156
