opID,titlu,volum
963,A Visit to the Monastery of La Trappe in 1817,
964,Play-Making: A Manual of Craftsmanship,
965,The Dolorous Passion of Our Lord Jesus Christ,
966,The Atlantic Monthly,2
967,Clerambault: The Story of an Independent Spirit During the War,
968,The Abandoned Room,
969,Baartock,
970,Are You a Bromide?,
971,At Sunwich Port,
972,At Sunwich Port,
973,At Sunwich Port,
974,At Sunwich Port,
975,At Sunwich Port,
976,At Sunwich Port,
977,The Tragedies of the Medici,
978,The Mule,
979,A Compilation of the Messages and Papers of the Presidents,
980,Rolf in the Woods,
981,Teddy's Button,
982,Crescent and Iron Cross,
983,The Eagle's Shadow,
984,Dio's Rome,4
985,A Publisher and His Friends,
986,Stories from the Italian Poets: with Lives of the Writers,1
987,The Untamed,
988,Babylonian and Assyrian Literature,
989,Arthur Hamilton,
990,The Life and Romances of Mrs. Eliza Haywood,
991,Moon-Face,
992,Dio's Rome,5
993,Algonquin Indian Tales,
994,Dawn,
995,A Compilation of the Messages and Papers of the Presidents,
996,A Compilation of the Messages and Papers of the Presidents,
997,A Compilation of the Messages and Papers of the Presidents,
998,The Mirror of Literature,
999,The Wendigo,
1000,American Scenes,
1001,Olivia in India,
1002,Renascence,
1003,The Bickerstaff-Partridge Papers,
1004,The King James Bible,
1005,Three Young Knights,
1006,Big and Little Sisters: A Story of an Indian Mission School,
1007,Punch,
1008,Frank Merriwell's Nobility; Or,
1009,Phantom Fortune,
1010,Quinze Jours en Égypte,
1011,The History of Rome,
1012,Manual for Noncommissioned Officers and Privates of Infantry of the Army of the United States,
1,The Declaration of Independence of the United States of America,
2,The King James Version of the Bible,
3,The Complete Works of William Shakespeare,
4,La Divina Commedia di Dante: Complete,
5,The Magna Carta,
6,Apocolocyntosis,
7,The House on the Borderland,
8,My First Years as a Frenchwoman,
9,The Warriors,
10,A Voyage to the Moon,
11,La Fiammetta,
12,Carmilla,
13,The Mystery,
14,Wild Northern Scenes,
15,Divine Comedy,
16,The Eulogies of Howard: A Vision,
17,365 Foreign Dishes,
18,The Mountains of California,
19,Punchinello,1
20,Punchinello,1
21,Punchinello,1
22,Punchinello,1
23,Punchinello,1
24,Punchinello,1
25,Punchinello,1
26,Divine Comedy,
27,The Strand Magazine: Vol. 07,
28,Tenterhooks,
29,White Queen of the Cannibals: the Story of Mary Slessor of Calabar,
30,There's Pippins and Cheese to Come,
31,Beneath the Banner: Being Narratives of Noble Lives and Brave Deeds,
32,Gaslight Sonatas,
33,The Mirror of Literature,
34,The Triple Alliance,
35,Spalding's Official Baseball Guide - 1913,
36,The Hunt Ball Mystery,
37,Divine Comedy,
38,The Life of Hon. William F. Cody,
39,The Complete Poetical Works of Edgar Allan Poe,
40,Punchinello,1
41,Punchinello,1
42,Punchinello,1
43,Punchinello,2
44,Punchinello,2
45,A Beautiful Possibility,
46,The Magnetic North,
47,The Works of Aphra Behn,
48,Divine Comedy,
49,Aleutian Indian and English Dictionary,
50,The Rivet in Grandfather's Neck: A Comedy of Limitations,
51,The Child under Eight,
52,Klondyke Nuggets,
53,The Father of British Canada: a Chronicle of Carleton,
54,Dave Darrin's Second Year at Annapolis,
55,Salute to Adventurers,
56,Punchinello,2
57,Billie Bradley and Her Inheritance; Or,
58,Old Lady Mary,
59,Divine Comedy,
60,A Little Pilgrim: Stories of the Seen and the Unseen,
61,The Little Pilgrim: Further Experiences.,
62,The Open Door,
63,La vampire,
64,Nova analysis aquarum Medeviensium,
65,Hamburgische Dramaturgie,
66,Chinese Literature,
67,The Secret of the Tower,
68,The Divine Office,
69,Aunt Jane's Nieces on Vacation,
70,Divine Comedy,
71,Discourses: Biological & Geological,
72,Les Heures Claires,
73,The Iron Game,
74,Happiness and Marriage,
75,Beltane the Smith,
76,The Constitution of the United States,
77,Gunman's Reckoning,
78,The Mystery of the Boule Cabinet: A Detective Story,
79,The Power and the Glory,
80,Account of the Romansh Language,
81,Divine Comedy,
82,Stories of Great Americans for Little Americans,
83,By-Ways of Bombay,
84,English Housewifery,
85,The Century Vocabulary Builder,
86,The Mirror of Literature,
87,A Narrative of the Life and Adventures of Venture,
88,Lister's Great Adventure,
89,The Atlantic Monthly,10
90,Plain Words from America: A Letter to a German Professor (1917),
91,The Atlantic Monthly,2
92,Divine Comedy,
93,Mobilizing Woman-Power,
94,The Boy Allies at Jutland; Or,
95,The Hampstead Mystery,
96,The House of the Whispering Pines,
97,Kazan,
98,Moorish Literature,
99,The Minute Boys of the Mohawk Valley,
100,Old Lady Number 31,
101,Thaumaturgia; Or,
102,Elves and Heroes,
103,La Divina Commedia di Dante: Inferno,
104,Peaceless Europe,
105,Punchinello,2
106,Punchinello,2
107,Gutta-Percha Willie,
108,A Soldier of Virginia: A Tale of Colonel Washington and Braddock's Defeat,
109,The Twilight of the Gods,
110,The Trojan women of Euripides,
111,The Healing of Nations and the Hidden Sources of Their Strife,
112,How Jerusalem Was Won,
113,Towards the Goal,
114,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,
115,La Divina Commedia di Dante: Purgatorio,
116,Byron,
117,A Little Boy Lost,
118,The Czar's Spy: The Mystery of a Silent Love,
119,The Great Events by Famous Historians,8
120,Punchinello,2
121,Punchinello,2
122,Punchinello,2
123,With British Guns in Italy: A Tribute to Italian Achievement,
124,A Treatise of Daunses,
125,The Unspeakable Gentleman,
126,La Divina Commedia di Dante: Paradiso,
127,The Postmaster's Daughter,
128,Boys and Girls from Thackeray,
129,American Political Ideas Viewed from the Standpoint of Universal History,
130,De mannen van '80 aan het woord,
131,The Great Events by Famous Historians,2
132,Two Centuries of Costume in America,
133,All Saints' Day and Other Sermons,
134,Den siste atenaren,
135,The Folk-lore of Plants,
136,Adonais,
137,La Divina Commedia di Dante,
138,England of My Heart : Spring,
139,The Literature of Arabia,
140,Fairies and Fusiliers,
141,Aunt Jane's Nieces,
142,Aunt Jane's Nieces and Uncle John,
143,The Best Letters of Charles Lamb,
144,Home-Life of the Lancashire Factory Folk during the Cotton Famine,
145,Abducted to Oz,
146,The Great Events by Famous Historians,17
147,Excellent Women,
148,The First Men in the Moon,
149,The Works of Charles and Mary Lamb — Volume 3,
150,Required Poems for Reading and Memorizing,
151,The Sowers,
152,The Vigil of Venus and Other Poems by "Q",
153,John Wesley,
154,The Great English Short-Story Writers,1
155,The Book of Household Management,
156,Mary Had a Little Lamb,
157,The Atlantic Monthly,1
158,The Faith of the Millions (2nd series),
159,The Lure of the Dim Trails,
160,Rhetoric and Poetry in the Renaissance,
161,A Discourse on the Life,
162,Maezli,
163,Punch,
164,Punchinello,2
165,Turkey: a Past and a Future,
166,Reminiscences of Pioneer Days in St. Paul,
167,America's War for Humanity,
168,The Merry Adventures of Robin Hood,
169,Home as Found,
170,The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life,
171,Dracula's Guest,
172,The Great Events by Famous Historians,5
173,Voice Trial - Kinetophone actor audition,
174,Voice Trial - Kinetophone Actor Audition,
175,Voice Trial - Kinetophone Actor Audition,
176,The Right of the People to Rule,
177,M'appari - Martha,
178,Which Switch is the Switch,
179,Daybreak at Calamity Farm,
180,England and the War,
181,On the Improvement of the Understanding,
182,Pierre Nozière,
183,English Poets of the Eighteenth Century,
184,Dio's Rome,3
185,Mohammedanism,
186,The Black Creek Stopping-House,
187,Across the Zodiac,
188,What Germany Thinks,
189,Mr. Thomas Cat,
190,Kaiser Frederick March,
191,Semper Fidelis March,
192,The Soul of Man under Socialism,
193,Stars and Stripes Forever,
194,Santa Lucia,
195,Minuet in G Flat major and Valse Bluette,
196,Hungarian Rhapsody No. 2,
